"Sub.Num","age_peek_months","signs_produced","C_T_count","total_trials_shifting","mean_correct_rt","C_T_prop","prop_looking","knowledge_count","guessing_count","posterior_mass"
"30009",40,81,17,23,1028.57142857143,0.74,0.430395913154534,978,22,0.02
"30010",44,77,20,26,1187,0.77,0.491995073891626,988,12,0.01
"30011",16,19,4,5,1822,0.8,0.202586206896552,882,118,0.12
"30013",31,81,13,13,1579.25,1,0.129973474801061,997,3,0
"30014",33,80,10,15,1283.3,0.67,0.354525862068966,816,184,0.18
"30015",21,41,7,9,1258.25,0.78,0.418390804597701,913,87,0.09
"30017",35,73,16,22,1243.625,0.73,0.336581709145427,951,49,0.05
"30018",18,41,16,29,861.928571428571,0.55,0.425066312997347,96,904,0.9
"30019",29,76,18,23,923.529411764706,0.78,0.645427286356822,989,11,0.01
"30020",36,73,13,15,1462.5,0.87,0.387931034482759,994,6,0.01
"30024",21,57,11,18,1193.3,0.61,0.349616858237548,555,445,0.44
"30025",26,56,10,12,1338.14285714286,0.83,0.244514106583072,979,21,0.02
"30026",36,50,17,21,1169.72727272727,0.81,0.579741379310345,996,4,0
"30028",27,60,7,12,1083.16666666667,0.58,0.301724137931034,515,485,0.48
"30029",35,77,25,30,1161.125,0.83,0.482758620689655,999,1,0
"30031",25,62,14,17,1352.75,0.82,0.314176245210728,995,5,0
"30036",42,75,15,18,1271.84615384615,0.83,0.529411764705882,997,3,0
"30037",21,NA,11,14,1140.1,0.79,0.400246305418719,962,38,0.04
"30046",22,72,11,15,1326.7,0.73,0.399784482758621,919,81,0.08
"30048",19,31,19,21,1429.61111111111,0.9,0.43928035982009,998,2,0
"30049",33,69,16,19,1302,0.84,0.474137931034483,995,5,0
"30050",18,23,4,7,1900,0.57,0.331896551724138,612,388,0.39
"30051",25,67,5,12,1620,0.42,0.316502463054187,88,912,0.91
"30052",28,72,13,18,1350,0.72,0.261853448275862,930,70,0.07
"30066",35,78,16,22,1380,0.73,0.369363395225464,967,33,0.03
"30068",53,82,16,20,1133.26666666667,0.8,0.546695402298851,992,8,0.01
"30085",19,50,7,11,1294.33333333333,0.64,0.280564263322884,708,292,0.29
"30086",20,47,2,7,1367,0.29,0.204980842911877,114,886,0.89
"30088",22,43,2,6,1333.5,0.33,0.258620689655172,216,784,0.78
