age_code,sign,mean,lower,upper,all_signs,plot_order
adult,shoe,0.37065429535930966,0.2422481939541897,0.4983395456217306,no,2
adult,car,0.3807718849454896,0.2435943863990155,0.5147741177355849,no,3
adult,ball,0.4315026368022335,0.2987454322112471,0.5679530965351084,no,4
adult,birdy,0.43328317146738676,0.2998730009023366,0.5684072142188628,no,5
adult,teddy,0.4336730161113839,0.2977497053244609,0.5668459039129055,no,6
adult,kitty,0.46534083491446343,0.3359196624871045,0.6020203128650574,no,7
adult,book,0.4974933367864767,0.3611154807827402,0.6376706195861334,no,8
adult,all signs,0.5243034017996205,0.3960445358769175,0.6512491750927232,yes,1
adult,doll,0.6036170926117076,0.46856438063177525,0.7401193499761634,no,9
child,shoe,0.8042544747974988,0.6924921957196495,0.9154944275704076,no,2
child,car,0.8143720643836787,0.6939721116183475,0.9300924839639473,no,3
child,ball,0.8651028162404226,0.752405032915934,0.9797840178190056,no,4
child,birdy,0.8668833509055759,0.7487655417149168,0.9888612303170629,no,5
child,teddy,0.867273195549573,0.7511498351273584,0.9822498741201187,no,6
child,all signs,0.868160249106194,0.7716491493358996,0.9632885317051978,yes,1
child,kitty,0.8989410143526526,0.7830493125531922,1.0222805847182654,no,7
child,book,0.9310935162246659,0.8106831793344512,1.0512513505044117,no,8
child,doll,1.0372172720498967,0.9092073018719997,1.1670109516963003,no,9
